date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards
2019-11-17,PHI,NE,10.0,17.0,Lincoln Financial Field,555.0,44.0,94.0,47.0,39.0,29.0,8.0,1.0,0.0,3.0,128.0
2019-11-17,LA,CHI,17.0,7.0,Los Angeles Memorial Coliseum,550.0,58.0,68.0,36.0,30.0,27.0,9.0,2.0,0.0,5.0,59.0
2019-11-18,LAC,KC,17.0,24.0,Azteca Stadium,750.0,46.0,88.0,47.0,41.0,28.0,11.0,1.0,1.0,9.0,162.0
2019-11-21,HOU,IND,20.0,17.0,NRG Stadium,692.0,63.0,57.0,35.0,35.0,27.0,15.0,3.0,0.0,3.0,56.0
2019-11-24,ATL,TB,22.0,35.0,Mercedes-Benz Stadium,783.0,53.0,90.0,46.0,42.0,29.0,10.0,3.0,2.0,5.0,111.0
2019-11-24,BUF,DEN,20.0,3.0,New Era Field,558.0,64.0,55.0,25.0,31.0,27.0,10.0,0.0,0.0,3.0,160.0
2019-11-24,CHI,NYG,19.0,14.0,Soldier Field,578.0,47.0,80.0,46.0,34.0,27.0,5.0,4.0,2.0,3.0,75.0
2019-11-24,CIN,PIT,10.0,16.0,Paul Brown Stadium,582.0,59.0,60.0,25.0,27.0,28.0,7.0,0.0,0.0,5.0,156.0
2019-11-24,CLE,MIA,41.0,24.0,FirstEnergy Stadium,751.0,52.0,78.0,45.0,51.0,22.0,10.0,1.0,0.0,6.0,164.0
2019-11-24,NO,CAR,34.0,31.0,Mercedes-Benz Superdome,769.0,47.0,82.0,53.0,49.0,23.0,9.0,2.0,1.0,3.0,148.0
2019-11-24,NYJ,OAK,34.0,3.0,MetLife Stadium,,,,,,,,,,,
2019-11-24,PHI,SEA,9.0,17.0,Lincoln Financial Field,692.0,50.0,79.0,46.0,36.0,26.0,9.0,1.0,0.0,9.0,105.0
2019-11-24,WAS,DET,19.0,16.0,FedExField,594.0,56.0,72.0,33.0,33.0,29.0,10.0,0.0,0.0,7.0,128.0
2019-11-24,TEN,JAX,42.0,20.0,Nissan Stadium,842.0,60.0,72.0,46.0,42.0,26.0,11.0,2.0,1.0,3.0,158.0
2019-11-24,NE,DAL,13.0,9.0,Gillette Stadium,603.0,53.0,72.0,36.0,32.0,27.0,5.0,2.0,0.0,4.0,106.0
2019-11-24,SF,GB,37.0,8.0,Levi's Stadium,539.0,50.0,66.0,37.0,35.0,24.0,4.0,3.0,1.0,2.0,128.0
2019-11-25,LA,BAL,6.0,45.0,Los Angeles Memorial Coliseum,701.0,57.0,65.0,42.0,43.0,24.0,11.0,4.0,4.0,4.0,122.0
2019-11-28,DET,CHI,20.0,24.0,Ford Field,783.0,50.0,79.0,51.0,40.0,26.0,13.0,2.0,0.0,2.0,174.0
2019-11-28,DAL,BUF,15.0,26.0,AT&T Stadium,784.0,53.0,83.0,52.0,51.0,27.0,13.0,5.0,3.0,5.0,119.0
2019-11-28,ATL,NO,18.0,26.0,Mercedes-Benz Stadium,627.0,44.0,91.0,53.0,40.0,26.0,8.0,4.0,2.0,4.0,139.0
